species_code,ssid,raw_species,raw_common,aphiaID,TSN
21420,ak,Hemitripterus bolini,bigmouth sculpin,254541,167287
21421,ak,Hemitripterus villosus,sea raven,276257,167286
21423,ak,Eurymen gyrinus,smoothcheek sculpin,254565,167418
21429,ak,Triglops xenostethus,scalybreasted sculpin,274401,643713
21436,ak,Ruscarius meanyi,Puget Sound sculpin,282637,167424
21437,ak,Icelinus burchami,dusky sculpin,281134,167292
21438,ak,Icelus spiniger,thorny sculpin,254525,167193
21439,ak,Icelus canaliculatus,blacknose sculpin,254524,167189
21440,ak,Icelus euryops,wide-eye sculpin,274379,167190
21441,ak,Icelus spatula,spatulate sculpin,127200,167192
21443,ak,Icelus uncinalis,uncinate sculpin,274388,167194
21444,ak,Rastrinus scutiger,roughskin sculpin,282552,167420
21445,ak,Jordania zonope,longfin sculpin,398459,167384
21446,ak,Icelus,,126150,167187
21447,ak,Paricelinus hopliticus,thornback sculpin,282147,167338
21484,ak,Paralabrax nebulifer,barred sand bass,282059,167834
21500,ak,Embiotocidae,surfperch,151386,169735
21501,ak,Amphistichus argenteus,barred surfperch,279594,169758
21502,ak,Amphistichus rhodoterus,redtail surfperch,279596,169757
21503,ak,Hyperprosopon argenteum,walleye surfperch,281098,169747
21506,ak,Embiotoca lateralis,striped surfperch,240740,169744
21510,ak,Cymatogaster aggregata,shiner perch,280461,169739
21515,ak,Hyperprosopon anale,spotfin surfperch,281097,169749
21521,ak,Rhacochilus vacca,pile perch,1577347,NA
21521,ak,Phanerodon vacca,pile perch,1577347,NA
21522,ak,Zalembius rosaceus,pink seaperch,283202,169769
21592,ak,Trichodon trichodon,Pacific sandfish,283043,170919
21594,ak,Chiasmodontidae,swallowers,125529,171084
21595,ak,Kali indica,shortnose swallower,159666,171088
21596,ak,Chiasmodon niger,black swallower,126840,171086
21597,ak,Kali kerberti,needletooth swallower,302801,NA
21597,ak,Kali normani,needletooth swallower,302801,NA
21598,ak,Pseudoscopelus,,125958,171093
21705,ak,Gadidae,cod,125469,164701
21710,ak,Microgadus proximus,Pacific tomcod,275873,164719
21720,ak,Gadus macrocephalus,Pacific cod,254538,164711
21721,ak,Gadus macrocephalus,Pacific cod,254538,164711
21722,ak,Gadus macrocephalus,Pacific cod,254538,164711
21725,ak,Boreogadus saida,Arctic cod,126433,164706
21726,ak,Moridae,codlings,125474,164670
21727,ak,Halargyreus johnsonii,slender codling,126489,164692
21731,ak,Antimora microlepis,Pacific flatnose,272460,164673
21732,ak,Physiculus rastrelliger,hundred fathom codling,272510,164681
21733,ak,Laemonema longipes,longfin codling,272474,550672
21735,ak,Eleginus gracilis,saffron cod,254537,164708
21736,ak,Eleginus gracilis,saffron cod,254537,164708
21737,ak,Eleginus gracilis,saffron cod,254537,164708
21740,ak,Gadus chalcogrammus,walleye pollock,300735,934083
21741,ak,Gadus chalcogrammus,walleye pollock,300735,934083
21742,ak,Gadus chalcogrammus,walleye pollock,300735,934083
21744,ak,Gadus chalcogrammus,walleye pollock,300735,934083
21752,ak,Gasterosteus aculeatus,threespine stickleback,126505,166365
21753,ak,Pungitius pungitius,ninespine stickleback,126507,166387
21760,ak,Syngnathidae,pipefish,125606,166443
21770,ak,Gobiidae,goby,125537,171746
21800,ak,Gonostomatidae,bristlemouth,125601,162163
21805,ak,Sigmops gracilis,slender fangjaw,279336,622490
21810,ak,Cyclothone,,126187,162164
21811,ak,Cyclothone atraria,black bristlemouth,274943,162165
21812,ak,Cyclothone pseudopallida,slender bristlemouth,127289,162175
21813,ak,Cyclothone signata,showy bristlemouth,154831,162168
21815,ak,Cyclothone acclinidens,benttooth bristlemouth,127282,162172
21818,ak,Gonostoma,,126189,162182
21820,ak,Sternoptychidae,hatchetfish,125603,162212
21821,ak,Argyropelecus sladeni,silvery hatchetfish,158837,162221
21822,ak,Argyropelecus,,126196,162213
21823,ak,Argyropelecus lychnus,tropical hatchetfish,158836,162214
21824,ak,Argyropelecus affinis,slender hatchetfish,127307,162216
21825,ak,Sternoptyx diaphana,longspine hatchetfish,127314,162227
21827,ak,Sternoptyx,,126199,162226
21845,ak,Stomias atriventer,blackbelly dragonfish,275178,162290
21846,ak,Stomiiformes,,10306,553138
21847,ak,Stomiidae,barbeled dragonfish,125604,162282
21848,ak,Pachystomias microdon,,127367,622404
21849,ak,Opostomias mitsuii,pitgum lanternfish,281926,622645
21850,ak,Rhadinesthes decimus,slender snaggletooth,127373,622481
21900,ak,Hexagrammidae,greenling,154415,167108
21910,ak,Ophiodon elongatus,lingcod,240745,167116
21915,ak,Oxylebius pictus,painted greenling,240743,167118
21921,ak,Pleurogrammus monopterygius,Atka mackerel,282289,167120
21930,ak,Hexagrammos,,240731,167109
21931,ak,Hexagrammos octogrammus,masked greenling,254544,167112
21932,ak,Hexagrammos stelleri,whitespotted greenling,254545,167113
21934,ak,Hexagrammos lagocephalus,rock greenling,240735,167111
21935,ak,Hexagrammos decagrammus,kelp greenling,240732,167110
21936,ak,Zaniolepis latipinnis,longspine combfish,283209,167128
21937,ak,Zaniolepis frenata,shortspine combfish,283208,167129
22010,ak,Icosteus aenigmaticus,ragfish,281153,171663
22110,ak,Idiacanthus antrostomus,Pacific blackdragon,275151,162301
22111,ak,Idiacanthus,,126211,162299
22121,ak,Medialuna californiensis,halfmoon,281541,169522
22170,ak,Cyclopteridae,lumpsucker,125590,167483
22173,ak,Lethotremus,,254346,167548
22175,ak,Aptocyclus ventricosus,smooth lumpsucker,254299,167485
22176,ak,Lethotremus muticus,docked snailfish,254348,167549
22177,ak,Eumicrotremus asperrimus,round lumpsucker,254533,643976
22178,ak,Eumicrotremus orbis,Pacific spiny lumpsucker,254535,167543
